KNUMBER|APPLICANT|CONTACT|STREET1|STREET2|CITY|STATE|COUNTRY_CODE|ZIP|POSTAL_CODE|DATERECEIVED|DECISIONDATE|DECISION|REVIEWADVISECOMM|PRODUCTCODE|STATEORSUMM|CLASSADVISECOMM|SSPINDICATOR|TYPE|THIRDPARTY|EXPEDITEDREVIEW|DEVICENAME
K233271|Synoross DBA OsseOne|Gennady  Shapiro|330 N Central Avenue||Glendale|CA|US|91203|91203|09/29/2023|05/08/2025|SESE|DE|DZE|Summary|DE||Traditional|N||OsseOne Dental Implant System
DEN240021|Active Protective Technologies, Inc.|Wamis  Singhatat|580 Virginia Drive, Suite 230||Fort Washington|PA|US|19034|19034|05/16/2024|04/09/2025|DENG|PM|SEC||PM||Direct|N||Tango® Belt (Model SAS-001-01 (XS); Model SAS-001-02 (S); Model SAS-001-03 (M); Model SAS-001-04 (L); Model SAS-001-05 (XL))
DEN240031|Prapela, Inc.|John  Konsin|2 Main ST STE 15-219||Biddeford|ME|US|04005|04005|06/17/2024|04/04/2025|DENG|HO|QVY||HO||Direct|N||Prapela SVS hospital bassinet pad (model P01)
DEN240045|Teal Health, Inc.|Trena  Depel|1012 Torney Ave||San Francisco|CA|US|94129|94129|08/27/2024|05/09/2025|DENG|MI|SEP||MI||Direct|N||Teal Wand
DEN240062|Epi-Minder PTY LTD|Tracy  Cameron|384-388 Albert St||Melbourne||AU|3002|3002|10/18/2024|04/17/2025|DENG|NE|SEM||NE||Direct|N||Minder System
DEN240064|Click Therapeutics, Inc.|Dr. Shaheen  Lakhan|80 White St|3rd Floor|New York|NY|US|10013|10013|11/12/2024|04/11/2025|DENG|NE|SEE||NE||Direct|N||CT-132
K240355|CarrTech Corp|Sue  Carr|4539 Metropolitan Court||Frederick|MD|US|21704|21704|02/05/2024|04/18/2025|SESE|HO|FMI|Summary|HO||Traditional|N||FROG  (Filter Removal of Glass)
K240398|RaySearch Laboratories AB (publ)|Anders  Wihlborg|Eugeniavagen 18C||Stockholm||SE|11368|11368|02/09/2024|04/04/2025|SESE|RA|MUJ|Summary|RA||Traditional|N||RayStation 2023B, RayPlan 2023B, RayStation 2024A, RayPlan 2024A, RayStation 2024A SP3, RayPlan 2024A SP3
K240554|lnfervision Medical Technology Co., Ltd.|Matt  Deng|Room B401, 4th Floor, Building 1, No.12 Shangdi|Information Road, Haidian District|Beijing||CN|||02/28/2024|05/16/2025|SESE|RA|OEB|Summary|RA||Traditional|N||InferRead Lung CT.AI
K240615|Beaver-Visitec International, Inc.|Christopher  Brady|10 CityPoint, 500 Totten Pond Rd||Waltham|MA|US|02451|02451|03/05/2024|04/03/2025|SESE|OP|HQF|Summary|OP||Traditional|N||Leos Laser and Endoscopy System
K240775|TamaBio|Tetsuya  Nagao|#402 2-2-18 Sakai Mushashino-shi||Tokyo||JP|180-0022|180-0022|03/21/2024|04/18/2025|SESE|CV|DXZ|Summary|CV||Traditional|N||PeriBeam®  Pericardial Membrane
K240857|WE Medical Technology (Wuxi) Co., Ltd.|Tianmin  Li|D603-2, 530 BLDG, No. 18 Qingyuan RD, Xinwu DIST||Wuxi||CN|214111|214111|03/28/2024|05/15/2025|SESE|SU|GEI|Summary|SU||Traditional|N||Youmagic FLM System (YM5-U1)
K241086|Avidhrt Inc.|Prabode  Weebadde|325 E. Grand River Avenue #225||East Lansing|MI|US|48823|48823|04/19/2024|05/09/2025|SESE|CV|DQA|Summary|CV||Traditional|N||Avidhrt Sense SpO2
K241188|Sekisui Diagnostics, LLC|Craig  Jolicoeur|6659 Top Gun Street||San Diego|CA|US|92121|92121|04/29/2024|04/18/2025|SESE|MI|PSZ|Summary|MI||Dual Track|N||Acucy® Influenza A&B Test with the Acucy® 2 System
K241581|Haolang Medical USA Corporation|Lisa  Xu|1100 Bellevue Way NE 8A-533||Bellevue|WA|US|98004|98004|06/03/2024|05/16/2025|SESK|GU|MSD|Summary|GU||Traditional|N||Hemodialysis Catheter
K241589|Ceribell, Inc.|Raymond  Woo|360 N Pastoria Ave||Sunnyvale|CA|US|94085|94085|06/03/2024|04/09/2025|SESE|NE|OMB|Summary|NE||Traditional|N||Ceribell Seizure Detection Software
K241663|Eminent Spine|Stephen  Courtney|2004 Ventura Dr.|STE 100|Plano|TX|US|75093|75093|06/07/2024|04/28/2025|SESE|OR|NKB|Summary|OR||Traditional|N||Eminent Spine 3D Titanium Pedicle Screw System
K241671|Esaote S.p.A.|Alberto  Carcagnì|via Enrico Melen 77||Genoa||IT|16152|16152|06/11/2024|05/16/2025|SESE|RA|IYN|Summary|RA||Traditional|N||6450 Ultrasound System (MyLabE80); 6450 Ultrasound System (MyLabE85)
K241733|Novasonix Technology S.L|Carlos  Navarro|c/ Pla de Ramasar 52, Pol. Ind, Carrer Pla del Ramassar||Granollers||ES|08402|08402|06/17/2024|04/16/2025|SESE|SU|PBX|Summary|SU||Traditional|N||HEBE (NP0000763); HERA (NP0000706)
K241931|OcuSciences, Inc.|Kurt  Riegger|2890 Carpenter Rd Suite 1800||Ann Arbor|MI|US|48108|48108|07/01/2024|04/22/2025|SESE|OP|MYC|Summary|OP||Traditional|N||OcuMet Beacon  (OCUB100)
K241980|Solutions for tomorrow AB|Martin  Yngvesson|Saxagardsvagen 1||Vackelsang||SE|36251|36251|07/05/2024|05/06/2025|SESE|RA|IZL|Summary|RA||Traditional|N||!M1
K241982|Foqus Technologies Inc.|Sadegh  Raeisi|The Tannery, 151 Charles St W Suite# 199||Kitchener||CA|N2G1H6|N2G1H6|07/05/2024|04/04/2025|SESE|RA|QIH|Summary|RA||Traditional|N||DeepFoqus (DeepFoqus-Accelerate)
K241984|Hi-D Imaging AG|Utku  Gulan|Technoparkstrasse 2||Winterthur||CH|8406|8406|07/08/2024|04/02/2025|SESE|RA|QIH|Summary|RA||Traditional|N||Hi-D Imaging 4TAVR
K241996|ECORAY Co., Ltd.|Haeri  Lee|58, Wangsimni-ro, Seongdong-gu|#714~716, ForHu B/D|Seoul||KR|04778|04778|07/09/2024|04/18/2025|SESE|RA|IZL|Summary|RA||Traditional|N||ULTRA 1040
K242001|Philips Medical Systems Nederland B.V.|David  Boser|High Tech Campus 34||Eindhoven||NL|5656 AE|5656 AE|07/09/2024|04/04/2025|SESE|AN|BZQ|Summary|AN||Traditional|N||Philips VSC-MEDlib
K242031|StepOne Fertility Ltd (t/a Béa Fertility)|Tom  Littleford|71-75 Shelton Street|Covent Garden|London||GB|WC2H 9JQ|WC2H 9JQ|07/11/2024|04/02/2025|SESE|OB|HDR|Summary|OB||Traditional|N||Béa Applicator  (BAP-GB-01)
K242041|Taiwan Medical Electronics Co., Ltd.|Chi-Lin  Chen|Rm. 5, 3F., No. 49, Sec. 3, Zhongshan N. Rd.,|Zhongshan Dist.|Taipei City||TW|104029|104029|07/12/2024|04/01/2025|SESE|PM|EGJ|Summary|PM||Traditional|N||STOPWET iontophoresis apparatus (SW01)
K242045|Kyocera Medical Technologies, Inc.|Sumihiko  Maeno|1200 California Street|Suite 210|Redlands|CA|US|92374|92374|07/12/2024|04/10/2025|SESE|OR|LPH|Summary|OR||Traditional|N||Initia T3 Acetabular Hemispherical Shell System
K242056|BenQ Materials Corporation|Eric  Sun|29 Jianguo E. Road, Gueishan||Taoyuan||TW|33341|33341|07/15/2024|04/17/2025|SESE|OP|LPL|Summary|OP||Traditional|N||miacare (DELiGHT daily wear/ DELiGHT 1-day/ CONFiDENCE Color daily wear/CONFiDENCE Color 1-day) Contact Lens with EautraSil Plus
K242067|Olympus Corporations of the Americas|Elizabeth  Greene|800 West Park Drive||Westborough|MA|US|01581|01581|07/15/2024|04/02/2025|SESE|SU|FET|Summary|GU||Traditional|N||VISERA ELITE III VIDEO SYSTEM CENTER OLYMPUS OTV-S700; VISERA ELITE III LED LIGHT SOURCE OLYMPUS CLL-S700; 4K CAMERA HEAD OLYMPUS CH-S700-XZ-EA
